id,campaign,term,match_type
13259,13,hand soap refill antibacterial organic,BROAD
12706,13,hand soap refill antibacterial organic,EXACT
35288,13,hand soap refill antibacterial organic,Top of Search
12094,13,hand soap refill lavender,BROAD
12096,13,hand soap refill lavender,EXACT
34501,13,hand soap refill lavender,Other Placements
12097,13,hand soap refill lavender,PHRASE
34496,13,hand soap refill lavender,Top of Search
12103,13,hand soap refill natural,BROAD
12106,13,hand soap refill natural,EXACT
34513,13,hand soap refill natural,Other Placements
12109,13,hand soap refill natural,PHRASE
34507,13,hand soap refill natural,Top of Search
12112,13,hand soap refill soft soap,BROAD
34516,13,hand soap refill soft soap,Other Placements
39486,13,hand soap refill soft soap,Top of Search
12113,13,method hand soap foaming,BROAD
12118,13,method hand soap foaming,EXACT
34518,13,method hand soap foaming,Other Placements
13968,13,method hand soap foaming,PHRASE
34517,13,method hand soap foaming,Top of Search
10510,14,puracy,BROAD
9876,14,puracy,EXACT
31490,14,puracy,Other Placements
9882,14,puracy,PHRASE
31502,14,puracy,Top of Search
13285,14,puracy all purpose cleaner,BROAD
9888,14,puracy all purpose cleaner,EXACT
31508,14,puracy all purpose cleaner,Other Placements
36075,14,puracy all purpose cleaner,Top of Search
12750,14,puracy all purpose cleaner concentrate,BROAD
35339,14,puracy all purpose cleaner concentrate,Top of Search
16883,14,puracy baby,BROAD
9890,14,puracy baby,EXACT
31510,14,puracy baby,Other Placements
9891,14,puracy baby,PHRASE
31517,14,puracy baby,Top of Search
12758,14,puracy baby shampoo and body wash,BROAD
36092,14,puracy baby shampoo and body wash,Other Placements
13305,14,puracy baby shampoo and body wash,PHRASE
35347,14,puracy baby shampoo and body wash,Top of Search
9897,14,puracy body wash,BROAD
9900,14,puracy body wash,EXACT
31522,14,puracy body wash,Other Placements
9905,14,puracy body wash,PHRASE
35362,14,puracy body wash,Top of Search
16906,14,puracy cleaner multi-surface,BROAD
41531,14,puracy cleaner multi-surface,Top of Search
12778,14,puracy cleaner multi-surface refill,BROAD
35369,14,puracy cleaner multi-surface refill,Top of Search
9907,14,puracy hand soap,BROAD
9913,14,puracy hand soap,EXACT
31532,14,puracy hand soap,Other Placements
9919,14,puracy hand soap,PHRASE
35388,14,puracy hand soap,Top of Search
9922,14,puracy hand soap refill,BROAD
9928,14,puracy hand soap refill,EXACT
31547,14,puracy hand soap refill,Other Placements
11094,14,puracy hand soap refill,PHRASE
31558,14,puracy hand soap refill,Top of Search
16932,14,puracy lotion,BROAD
37119,14,puracy lotion,Other Placements
14052,14,puracy lotion,PHRASE
41562,14,puracy lotion,Top of Search
12188,14,puracy lotion organic,BROAD
34598,14,puracy lotion organic,Other Placements
41566,14,puracy lotion organic,Top of Search
10559,14,puracy prime pantry,BROAD
32449,14,puracy prime pantry,Top of Search
16941,14,puracy products,BROAD
9933,14,puracy products,EXACT
31561,14,puracy products,Other Placements
9938,14,puracy products,PHRASE
41573,14,puracy products,Top of Search
16945,14,puracy stain remover,BROAD
41576,14,puracy stain remover,Top of Search
16946,21,best all natural hand sanitizer,BROAD
40177,21,best all natural hand sanitizer,Top of Search
11101,21,clean and well products,EXACT
32455,21,clean and well products,Other Placements
32456,21,clean and well products,Top of Search
11103,21,clean cleaners,BROAD
11588,21,clean cleaners,EXACT
32471,21,clean cleaners,Other Placements
11110,21,clean cleaners,PHRASE
32477,21,clean cleaners,Top of Search
11115,21,clean well,BROAD
11116,21,clean well,EXACT
32503,21,clean well,Other Placements
11123,21,clean well,PHRASE
32517,21,clean well,Top of Search
16967,21,clean well disinfecting wipes,BROAD
40286,21,clean well disinfecting wipes,Top of Search
16968,21,clean well foam soap refill,BROAD
40292,21,clean well foam soap refill,Top of Search
14732,21,clean well foaming hand sanitizer,BROAD
37232,21,clean well foaming hand sanitizer,Other Placements
40301,21,clean well foaming hand sanitizer,Top of Search
16973,21,clean well foaming sanitizer,BROAD
40311,21,clean well foaming sanitizer,Top of Search
16154,21,clean well hand sanitizer,BROAD
39662,21,clean well hand sanitizer,Other Placements
40329,21,clean well hand sanitizer,Top of Search
11130,21,clean well hand sanitizers,BROAD
11601,21,clean well hand sanitizers,EXACT
32533,21,clean well hand sanitizers,Other Placements
11131,21,clean well hand sanitizers,PHRASE
32534,21,clean well hand sanitizers,Top of Search
11132,21,clean well hand soap,BROAD
32539,21,clean well hand soap,Other Placements
32540,21,clean well hand soap,Top of Search
16991,21,clean well ingredients,BROAD
40368,21,clean well ingredients,Top of Search
16994,21,clean well liquid hand soap,BROAD
11135,21,clean well liquid hand soap,EXACT
32543,21,clean well liquid hand soap,Other Placements
40374,21,clean well liquid hand soap,Top of Search
11136,21,clean well logo,BROAD
32544,21,clean well logo,Top of Search
16996,21,clean well natural antibacterial foaming hand soap,BROAD
40378,21,clean well natural antibacterial foaming hand soap,Top of Search
16997,21,clean well natural hand sanitizer,BROAD
40382,21,clean well natural hand sanitizer,Top of Search
16999,21,clean well refill,BROAD
11603,21,clean well refill,EXACT
33271,21,clean well refill,Other Placements
40390,21,clean well refill,Top of Search
17002,21,clean well sanitizer,BROAD
12213,21,clean well sanitizer,EXACT
33916,21,clean well sanitizer,Top of Search
17005,21,clean well sanitizer ingredients,BROAD
40406,21,clean well sanitizer ingredients,Top of Search
17008,21,clean well sanitizer review,BROAD
40415,21,clean well sanitizer review,Top of Search
13375,21,clean well soap,BROAD
11604,21,clean well soap,EXACT
35544,21,clean well soap,Other Placements
33274,21,clean well soap,Top of Search
17015,21,clean well soap refill,BROAD
40438,21,clean well soap refill,Top of Search
13383,21,clean well water,BROAD
15251,21,clean well water,EXACT
38207,21,clean well water,Other Placements
17017,21,clean well water,PHRASE
35566,21,clean well water,Top of Search
17018,21,clean well wipes ingredients,BROAD
40446,21,clean well wipes ingredients,Top of Search
14088,21,clean well with bleach,BROAD
36323,21,clean well with bleach,Top of Search
11137,21,cleanwell,EXACT
32567,21,cleanwell,Other Placements
11139,21,cleanwell,PHRASE
32576,21,cleanwell,Top of Search
14752,21,cleanwell all natural hand sanitizing wipes,EXACT
37340,21,cleanwell all natural hand sanitizing wipes,Other Placements
11146,21,cleanwell all natural hand sanitizing wipes,PHRASE
32584,21,cleanwell all natural hand sanitizing wipes,Top of Search
17035,21,cleanwell antibacterial soap,BROAD
11147,21,cleanwell antibacterial soap,EXACT
32587,21,cleanwell antibacterial soap,Other Placements
32588,21,cleanwell antibacterial soap,Top of Search
17037,21,cleanwell botanical all purpose cleaner msds,BROAD
40528,21,cleanwell botanical all purpose cleaner msds,Top of Search
11613,21,cleanwell botanical disinfectant spray,BROAD
17039,21,cleanwell botanical disinfectant spray,EXACT
33313,21,cleanwell botanical disinfectant spray,Other Placements
17040,21,cleanwell botanical disinfectant spray ads,BROAD
40536,21,cleanwell botanical disinfectant spray ads,Top of Search
17042,21,cleanwell botanical disinfecting ingredients,BROAD
40540,21,cleanwell botanical disinfecting ingredients,Top of Search
17045,21,cleanwell botanical disinfecting spray,BROAD
11614,21,cleanwell botanical disinfecting spray,EXACT
38262,21,cleanwell botanical disinfecting spray,Other Placements
33314,21,cleanwell botanical disinfecting spray,Top of Search
17049,21,cleanwell botanical disinfecting spray sds,BROAD
40558,21,cleanwell botanical disinfecting spray sds,Top of Search
17051,21,cleanwell cleaning products,BROAD
40561,21,cleanwell cleaning products,Top of Search
11148,21,cleanwell disinfectant spray,EXACT
32589,21,cleanwell disinfectant spray,Other Placements
32590,21,cleanwell disinfectant spray,Top of Search
17054,21,cleanwell disinfectant spray to go,BROAD
40568,21,cleanwell disinfectant spray to go,Top of Search
11149,21,cleanwell disinfecting wipes,BROAD
16177,21,cleanwell disinfecting wipes,EXACT
39797,21,cleanwell disinfecting wipes,Other Placements
32596,21,cleanwell disinfecting wipes,Top of Search
11152,21,cleanwell foaming hand soap refill,EXACT
32600,21,cleanwell foaming hand soap refill,Other Placements
33323,21,cleanwell foaming hand soap refill,Top of Search
17061,21,cleanwell foaming refill,BROAD
40588,21,cleanwell foaming refill,Top of Search
11620,21,cleanwell foaming soap,EXACT
33325,21,cleanwell foaming soap,Other Placements
11623,21,cleanwell foaming soap,PHRASE
33329,21,cleanwell foaming soap,Top of Search
15747,21,cleanwell foaming soap refill,BROAD
12224,21,cleanwell foaming soap refill,EXACT
33962,21,cleanwell foaming soap refill,Other Placements
33963,21,cleanwell foaming soap refill,Top of Search
11153,21,cleanwell hand sanitizer,BROAD
11158,21,cleanwell hand sanitizer,EXACT
32613,21,cleanwell hand sanitizer,Other Placements
11165,21,cleanwell hand sanitizer,PHRASE
